Transcript stable ID	Gene stable ID	Gene type	Gene name
ENSRNOT00000041720.1	ENSRNOG00000031780	Mt_tRNA	AY172581.13
ENSRNOT00000040038.3	ENSRNOG00000030478	Mt_rRNA	AY172581.9
ENSRNOT00000045072.3	ENSRNOG00000029171	Mt_tRNA	AY172581.3
ENSRNOT00000069133.1	ENSRNOG00000043866	Mt_rRNA	AY172581.24
ENSRNOT00000049156.3	ENSRNOG00000032112	Mt_tRNA	AY172581.14
ENSRNOT00000047550.4	ENSRNOG00000030644	protein_coding	Mt-nd1
ENSRNOT00000051008.3	ENSRNOG00000029301	Mt_tRNA	AY172581.4
ENSRNOT00000049396.3	ENSRNOG00000033545	Mt_tRNA	AY172581.21
ENSRNOT00000042644.3	ENSRNOG00000032274	Mt_tRNA	AY172581.15
ENSRNOT00000040993.4	ENSRNOG00000031033	protein_coding	Mt-nd2
ENSRNOT00000046073.3	ENSRNOG00000029677	Mt_tRNA	AY172581.6
ENSRNOT00000044320.3	ENSRNOG00000033932	Mt_tRNA	AY172581.22
ENSRNOT00000048525.3	ENSRNOG00000032609	Mt_tRNA	AY172581.18
ENSRNOT00000045310.3	ENSRNOG00000031333	Mt_tRNA	AY172581.10
ENSRNOT00000051860.3	ENSRNOG00000029954	Mt_tRNA	AY172581.7
ENSRNOT00000050156.3	ENSRNOG00000034234	protein_coding	Mt-co1
ENSRNOT00000040283.3	ENSRNOG00000032882	Mt_tRNA	AY172581.19
ENSRNOT00000051129.3	ENSRNOG00000031685	Mt_tRNA	AY172581.12
ENSRNOT00000043693.3	ENSRNOG00000030371	protein_coding	Mt-co2
ENSRNOT00000041978.3	ENSRNOG00000029070	Mt_tRNA	AY172581.1
ENSRNOT00000046201.3	ENSRNOG00000033299	protein_coding	Mt-atp8
ENSRNOT00000046108.3	ENSRNOG00000031979	protein_coding	Mt-atp6
ENSRNOT00000049683.3	ENSRNOG00000030700	protein_coding	Mt-cox3
ENSRNOT00000048050.3	ENSRNOG00000029389	Mt_tRNA	AY172581.5
ENSRNOT00000041241.3	ENSRNOG00000033615	protein_coding	Mt-nd3
ENSRNOT00000052103.3	ENSRNOG00000032320	Mt_tRNA	AY172581.16
ENSRNOT00000044582.3	ENSRNOG00000031053	protein_coding	Mt-nd4l
ENSRNOT00000042928.3	ENSRNOG00000029707	protein_coding	Mt-nd4
ENSRNOT00000047162.3	ENSRNOG00000033957	Mt_tRNA	AY172581.23
ENSRNOT00000045499.3	ENSRNOG00000032578	Mt_tRNA	AY172581.17
ENSRNOT00000050396.3	ENSRNOG00000031667	Mt_tRNA	AY172581.11
ENSRNOT00000048767.3	ENSRNOG00000029971	protein_coding	Mt-nd5
ENSRNOT00000051268.3	ENSRNOG00000029042	protein_coding	Mt-nd6
ENSRNOT00000049806.3	ENSRNOG00000032997	Mt_tRNA	AY172581.20
ENSRNOT00000042098.3	ENSRNOG00000031766	protein_coding	Mt-cyb
ENSRNOT00000040611.3	ENSRNOG00000030339	Mt_tRNA	AY172581.8
ENSRNOT00000044639.3	ENSRNOG00000029145	Mt_tRNA	AY172581.2
ENSRNOT00000088860.1	ENSRNOG00000056933	lincRNA	AABR07058420.1
ENSRNOT00000089697.1	ENSRNOG00000053465	lincRNA	AABR07028186.1
ENSRNOT00000083328.1	ENSRNOG00000056802	lincRNA	AABR07028749.2
ENSRNOT00000088269.1	ENSRNOG00000058088	lincRNA	LOC102550206
ENSRNOT00000075759.1	ENSRNOG00000050313	miRNA	AABR07044765.1
ENSRNOT00000067916.3	ENSRNOG00000018762	protein_coding	Rsph3
ENSRNOT00000000471.6	ENSRNOG00000000415	protein_coding	Asf1a
ENSRNOT00000084420.1	ENSRNOG00000000415	protein_coding	Asf1a
ENSRNOT00000082117.1	ENSRNOG00000057065	snoRNA	SNORA17
ENSRNOT00000017829.4	ENSRNOG00000013102	protein_coding	Entpd2
ENSRNOT00000072054.2	ENSRNOG00000058883	protein_coding	NEWGENE_1589866
ENSRNOT00000061930.4	ENSRNOG00000040242	protein_coding	Epm2a
ENSRNOT00000009763.5	ENSRNOG00000007027	protein_coding	Hgf
ENSRNOT00000082727.1	ENSRNOG00000056734	snoRNA	SNORA17
ENSRNOT00000053705.1	ENSRNOG00000035582	miRNA	Mir26a
ENSRNOT00000054516.1	ENSRNOG00000036402	miRNA	AABR07026936.1
ENSRNOT00000020339.7	ENSRNOG00000014268	protein_coding	Abca2
ENSRNOT00000005273.7	ENSRNOG00000003508	protein_coding	Ergic1
ENSRNOT00000091500.1	ENSRNOG00000055473	pseudogene	AABR07010181.1
ENSRNOT00000018987.3	ENSRNOG00000014185	protein_coding	Tktl2
ENSRNOT00000071707.3	ENSRNOG00000050854	protein_coding	Clcn2
ENSRNOT00000073435.2	ENSRNOG00000050854	protein_coding	Clcn2
ENSRNOT00000048033.3	ENSRNOG00000033391	protein_coding	Ascl5
ENSRNOT00000059467.4	ENSRNOG00000038902	protein_coding	RGD1565641
ENSRNOT00000043686.2	ENSRNOG00000033540	protein_coding	Cts7
ENSRNOT00000001973.3	ENSRNOG00000001452	protein_coding	Fzd9
ENSRNOT00000023584.6	ENSRNOG00000017462	protein_coding	Spata5
ENSRNOT00000078650.1	ENSRNOG00000017462	protein_coding	Spata5
ENSRNOT00000007309.6	ENSRNOG00000005491	protein_coding	Best3
ENSRNOT00000026875.5	ENSRNOG00000019804	protein_coding	B3gat3
ENSRNOT00000068623.2	ENSRNOG00000042286	protein_coding	Nsl1
ENSRNOT00000004104.6	ENSRNOG00000003073	protein_coding	Gpr161
ENSRNOT00000034448.5	ENSRNOG00000021693	protein_coding	Fam149a
ENSRNOT00000006953.6	ENSRNOG00000005151	protein_coding	Dync2li1
ENSRNOT00000068030.2	ENSRNOG00000005151	protein_coding	Dync2li1
ENSRNOT00000008743.6	ENSRNOG00000006703	protein_coding	Zfp398
ENSRNOT00000025294.6	ENSRNOG00000018567	protein_coding	Slc20a1
ENSRNOT00000005768.7	ENSRNOG00000004356	protein_coding	Lrrc52
ENSRNOT00000033977.6	ENSRNOG00000025619	protein_coding	Ap1g2
ENSRNOT00000060703.3	ENSRNOG00000039601	protein_coding	LOC683469
ENSRNOT00000004880.4	ENSRNOG00000003633	protein_coding	Rcvrn
ENSRNOT00000020699.2	ENSRNOG00000015444	protein_coding	Olr49
ENSRNOT00000025550.6	ENSRNOG00000018767	protein_coding	Rbm17
ENSRNOT00000038938.3	ENSRNOG00000027506	protein_coding	Zp4
ENSRNOT00000026526.5	ENSRNOG00000019575	protein_coding	Rell2
ENSRNOT00000040170.6	ENSRNOG00000030830	protein_coding	Mex3d
ENSRNOT00000039876.5	ENSRNOG00000001959	protein_coding	Mx1
ENSRNOT00000091437.1	ENSRNOG00000057960	lincRNA	AABR07065933.1
ENSRNOT00000086475.1	ENSRNOG00000061652	lincRNA	AABR07070801.2
